Record ID,First Name,Last Name,Phone Number,Job Title,Contact owner,Number of Employees,Company Name,Industry,Country/Region,City,State/Region,Website URL,Associated Company,Legal basis for processing contact's data,Became a Marketing Qualified Lead Date
51000001,Sarah,Blanc,+33265423511,Chargé de projet,lea.bonnet@agence.fr,40,Iris Optique,COMPUTER_SOFTWARE,France,Bordeaux,,https://www.irisoptique.fr/accueil,Iris Optique,,2026-05-23
51000002,Victor,Petit,+33395931034,Directeur,,120,Lorette & Fils,CONSTRUCTION,France,Lyon,,https://www.lorettefils.fr/accueil,Lorette & Fils,,2025-07-31
51000003,Hugo,Benali,+33628327648,Responsable achats,marie.dupont@agence.fr,5,Iris Optique,CONSTRUCTION,France,Nantes,,https://www.irisoptique.fr/accueil,Iris Optique,,2025-08-30
51000004,Nadia,Benali,+33676724238,CTO,,120,Atelier Nord,CONSTRUCTION,France,Lyon,,https://www.ateliernord.fr/accueil,Atelier Nord,Legitimate interest – existing customer,2022-12-08
51000005,Manon,Fontaine,+33226916697,CTO,marie.dupont@agence.fr,40,Sablier,CONSTRUCTION,France,Paris,,https://www.sablier.fr/accueil,Sablier,,2025-12-08
51000006,Lucas,Girard,+33648281489,Responsable achats,karim.haddad@agence.fr,500,Kaolin,COMPUTER_SOFTWARE,France,Lille,,https://www.kaolin.fr/accueil,Kaolin,,2026-06-05
51000009,Julien,Roux,+33534738299,Chargé de projet,,5,Sablier,COMPUTER_SOFTWARE,France,Bordeaux,,https://www.sablier.fr/accueil,Sablier,,2026-02-10
51000011,Sarah,Mercier,+33701326773,Chargé de projet,,120,Sablier,CONSTRUCTION,France,Rennes,,https://www.sablier.fr/accueil,Sablier,,2025-11-23
51000014,Rémi,Nguyen,+33499118384,Responsable achats,karim.haddad@agence.fr,40,Brightpath,MARKETING_AND_ADVERTISING,France,Nantes,,https://www.brightpath.fr/accueil,Brightpath,Consent,2025-08-25
51000015,Rémi,Perrin,+33541241182,CTO,karim.haddad@agence.fr,12,Verso,CONSTRUCTION,France,Lille,,https://www.verso.fr/accueil,Verso,,2026-05-17
51000017,Sophie,De la Fontaine,+33305331586,Responsable achats,karim.haddad@agence.fr,5,Dynamo Lab,MARKETING_AND_ADVERTISING,France,Bordeaux,,https://www.dynamolab.fr/accueil,Dynamo Lab,,2025-12-29
51000018,Lucas,Roux,+33160733754,Responsable achats,karim.haddad@agence.fr,40,Iris Optique,CONSTRUCTION,France,Rennes,,https://www.irisoptique.fr/accueil,Iris Optique,Legitimate interest – existing customer,2024-09-04
51000020,Olivier,Van Damme,+33160883561,CTO,marie.dupont@agence.fr,500,Atelier Nord,CONSTRUCTION,France,Bordeaux,,https://www.ateliernord.fr/accueil,Atelier Nord,,2024-05-01
51000024,Sarah,Moreau,+33557986872,Chargé de projet,karim.haddad@agence.fr,500,Kaolin,RETAIL,France,Bordeaux,,https://www.kaolin.fr/accueil,Kaolin,Legitimate interest – existing customer,2020-07-04
51000025,Inès,Nguyen,+33355812236,Responsable achats,marie.dupont@agence.fr,120,Sablier,CONSTRUCTION,France,Lille,,https://www.sablier.fr/accueil,Sablier,,2023-04-05
51000026,Lucas,Lambert,+33790967054,Chargé de projet,karim.haddad@agence.fr,12,Roseau Paysage,CONSTRUCTION,France,Nantes,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,,2021-10-02
51000029,Paul,Moreau,+33619374529,Directeur,marie.dupont@agence.fr,5,Roseau Paysage,CONSTRUCTION,France,Lille,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,Consent,2025-01-17
51000030,Amina,Van Damme,+33631491905,Chargé de projet,marie.dupont@agence.fr,40,Roseau Paysage,COMPUTER_SOFTWARE,France,Rennes,,https://www.roseaupaysage.fr/accueil,Roseau Paysage,,2025-08-11
51000031,Antoine,Petit,+33772628498,Chargé de projet,lea.bonnet@agence.fr,12,Lorette & Fils,COMPUTER_SOFTWARE,France,Marseille,,https://www.lorettefils.fr/accueil,Lorette & Fils,,2022-05-27
51000032,Thomas,Nguyen,+33175273545,CTO,lea.bonnet@agence.fr,5,Atelier Nord,FINANCIAL_SERVICES,France,Lyon,,https://www.ateliernord.fr/accueil,Atelier Nord,Legitimate interest – existing customer,2022-03-19
51000035,Olivier,Benali,+33240824008,CTO,,5,Iris Optique,FINANCIAL_SERVICES,France,Marseille,,https://www.irisoptique.fr/accueil,Iris Optique,,2023-11-30
51000037,Paul,Perrin,+33567749649,Directeur,marie.dupont@agence.fr,12,Atelier Nord,CONSTRUCTION,France,Bordeaux,,https://www.ateliernord.fr/accueil,Atelier Nord,Legitimate interest – existing customer,2023-12-07
51000038,Marc,Roux,+33206797403,CTO,,12,Dynamo Lab,CONSTRUCTION,France,Rennes,,https://www.dynamolab.fr/accueil,Dynamo Lab,Consent,2020-04-10
51000039,Leïla,Benali,+33224210249,CTO,,120,Lorette & Fils,CONSTRUCTION,France,Lille,,https://www.lorettefils.fr/accueil,Lorette & Fils,Consent,2025-03-05
51000040,Antoine,Nguyen,+33459401399,Directeur,marie.dupont@agence.fr,120,Sablier,FINANCIAL_SERVICES,France,Bordeaux,,https://www.sablier.fr/accueil,Sablier,,2019-10-04
